alg,M,seed,best_cost,energy_j,completion,wall_time_s
qipso,1,0,133508.921875,15476.326171875,0.21026206016540527,0.6127020656131208
qipso,1,1,146008.96875,16829.1484375,0.25135549902915955,0.5852609667927027
qipso,1,2,138062.46875,16641.150390625,0.2207588404417038,0.5906740040518343
qipso,1,3,145116.296875,14911.2919921875,0.18611161410808563,0.5829397579655051
qipso,1,4,151725.953125,15362.748046875,0.20553477108478546,0.5844369870610535
qipso,1,5,138634.984375,15768.357421875,0.20550262928009033,0.5844302303157747
qipso,1,6,156010.265625,15624.900390625,0.1934455931186676,0.6009035911411047
qipso,1,7,136860.90625,16351.580078125,0.2162037193775177,0.5893210303038359
qipso,1,8,150172.53125,14068.37890625,0.16576386988162994,0.5859668860211968
qipso,1,9,149875.28125,17215.197265625,0.20465333759784698,0.592784401960671
qipso,1,10,131495.40625,17220.06640625,0.25360235571861267,0.5857809442095459
qipso,1,11,139214.953125,14853.748046875,0.2304113805294037,0.5918918000534177
qipso,1,12,140064.671875,14991.3359375,0.2262386679649353,0.5874829008243978
qipso,1,13,165220.203125,16157.2861328125,0.18698470294475555,0.5873945229686797
qipso,1,14,141633.015625,16184.8466796875,0.19096308946609497,0.5848321467638016
qipso,1,15,150913.171875,14037.2451171875,0.1881457269191742,0.5854125157929957
qipso,1,16,155038.96875,15821.81640625,0.18834422528743744,0.5851773177273571
qipso,1,17,134056.875,15162.892578125,0.20081299543380737,0.5869622267782688
qipso,1,18,151949.234375,15313.9375,0.24678052961826324,0.5851282710209489
qipso,1,19,150621.78125,15543.6171875,0.23120006918907166,0.5845624059438705
qipso,1,20,162637.4375,16301.224609375,0.1298302710056305,0.5852170689031482
qipso,1,21,157375.21875,14631.86328125,0.20662496984004974,0.5867133210413158
qipso,1,22,139904.0625,14526.6708984375,0.1992051750421524,0.5826569749042392
qipso,1,23,148652.359375,15147.7431640625,0.21649669110774994,0.5850768508389592
qipso,1,24,155415.75,15696.8095703125,0.19850139319896698,0.5782718807458878
qipso,1,25,128511.9609375,15486.7021484375,0.2264128476381302,0.577497708145529
