alg,seed,best_cost,energy_j,completion,wall_time_s,iterations,K
qipso,0,30048.8203125,14310.8681640625,0.46187055110931396,0.5941723734140396,300,10
qipso,1,28288.26953125,14676.51171875,0.4577382802963257,0.5772674982436001,300,10
qipso,2,31746.021484375,15003.08984375,0.2784233093261719,0.5774409580044448,300,10
qipso,3,25743.92578125,14069.0947265625,0.4147091209888458,0.5766793452203274,300,10
qipso,4,29308.94921875,14202.244140625,0.5336116552352905,0.5746741523034871,300,10
qipso,5,33510.15625,13574.001953125,0.2354763299226761,0.5774803780950606,300,10
qipso,6,28952.408203125,14600.5625,0.41504165530204773,0.574843198992312,300,10
qipso,7,38256.8046875,16005.06640625,0.32816189527511597,0.5752109913155437,300,10
qipso,8,31220.56640625,13832.6220703125,0.27038729190826416,0.576116279233247,300,10
qipso,9,34567.625,16428.541015625,0.4998953342437744,0.5766103160567582,300,10
qipso,10,17540.388671875,15512.513671875,0.8334046602249146,0.5757571011781693,300,10
qipso,11,34503.578125,13995.416015625,0.3286825716495514,0.5782955796457827,300,10
qipso,12,26333.369140625,13966.763671875,0.5332518815994263,0.5749641670845449,300,10
qipso,13,41242.39453125,15227.8369140625,0.15967616438865662,0.5727894902229309,300,10
qipso,14,29983.525390625,15707.1875,0.5101820826530457,0.5738883190788329,300,10
qipso,15,28741.37109375,14087.0673828125,0.42286592721939087,0.5744810989126563,300,10
qipso,16,28750.35546875,14731.060546875,0.43676847219467163,0.5767516125924885,300,10
qipso,17,24510.9140625,15377.05859375,0.5345903038978577,0.5759085570462048,300,10
qipso,18,30731.16015625,14651.1884765625,0.4617590606212616,0.5765758501365781,300,10
qipso,19,23537.2421875,15559.658203125,0.6750162839889526,0.5745441052131355,300,10
qipso,20,38752.7421875,16647.611328125,0.2632346749305725,0.5730180628597736,300,10
qipso,21,31526.650390625,14792.775390625,0.3743842542171478,0.5723506361246109,300,10
qipso,22,29786.1796875,14295.2470703125,0.44688162207603455,0.5750025426968932,300,10
qipso,23,30476.234375,14159.5859375,0.39241334795951843,0.5752865448594093,300,10
