theta_frac_pi,w,seed,best_cost,wall_time_s
0.01,0.4,0,50624.53125,0.5777566521428525
0.01,0.4,1,56548.90625,0.5622739568352699
0.01,0.4,2,58027.421875,0.5604333928786218
0.01,0.4,3,52756.84375,0.5630241548642516
0.01,0.4,4,52869.67578125,0.5635313522070646
0.01,0.5,0,49479.921875,0.5626876899041235
0.01,0.5,1,56834.5078125,0.5609876122325659
0.01,0.5,2,57360.609375,0.5602974630892277
0.01,0.5,3,52711.62109375,0.5609992668032646
0.01,0.5,4,52276.53125,0.5573313171043992
0.01,0.6,0,49526.328125,0.5574504658579826
0.01,0.6,1,56563.33984375,0.557292693760246
0.01,0.6,2,57773.25,0.5596442329697311
0.01,0.6,3,52317.8671875,0.5572776733897626
0.01,0.6,4,51602.625,0.5599207589402795
0.01,0.7,0,49692.33984375,0.5538200102746487
0.01,0.7,1,57021.6875,0.5604404248297215
0.01,0.7,2,57464.95703125,0.5644352179951966
0.01,0.7,3,53030.5234375,0.5672148889862001
0.01,0.7,4,52141.5859375,0.5570800239220262
0.01,0.8,0,352395.1875,0.5538419028744102
0.01,0.8,1,911008.9375,0.5529207880608737
0.01,0.8,2,998110.375,0.5511208628304303
0.01,0.8,3,1094030.875,0.5528674917295575
0.01,0.8,4,734220.375,0.5610662610270083
0.01,0.9,0,844160.1875,0.5495058028027415
0.01,0.9,1,1081241.375,0.5505828927271068
0.01,0.9,2,1093031.125,0.5468669510446489
0.01,0.9,3,1270562.0,0.5446592010557652
0.01,0.9,4,1030452.8125,0.5430022291839123
0.03,0.4,0,50377.97265625,0.560641068033874
0.03,0.4,1,56340.0546875,0.557156533934176
0.03,0.4,2,57392.2890625,0.5661110789515078
0.03,0.4,3,51992.953125,0.5706883319653571
0.03,0.4,4,52209.8984375,0.5683363769203424
0.03,0.5,0,49728.0390625,0.5677171992138028
0.03,0.5,1,56845.8828125,0.5694082099944353
0.03,0.5,2,57358.69140625,0.5678549990989268
0.03,0.5,3,52883.34375,0.5681494418531656
0.03,0.5,4,52553.859375,0.566354847047478
0.03,0.6,0,47924.8359375,0.5572270900011063
0.03,0.6,1,56850.8828125,0.5585411260835826
0.03,0.6,2,57839.484375,0.5595050808042288
0.03,0.6,3,52424.734375,0.5567536908201873
0.03,0.6,4,52756.42578125,0.5564751252532005
0.03,0.7,0,49526.6171875,0.5526226949878037
0.03,0.7,1,57295.05859375,0.5505188191309571
0.03,0.7,2,59465.98046875,0.5517536201514304
0.03,0.7,3,53943.19921875,0.5540761570446193
0.03,0.7,4,52799.32421875,0.5517156859859824
0.03,0.8,0,254364.84375,0.5543270399793983
0.03,0.8,1,845814.5625,0.5509588308632374
0.03,0.8,2,926764.375,0.5513338828459382
0.03,0.8,3,788534.8125,0.5523629263043404
0.03,0.8,4,569151.5,0.5553462351672351
0.03,0.9,0,844160.1875,0.5452009658329189
0.03,0.9,1,1081241.375,0.5505901998840272
0.03,0.9,2,1093031.125,0.5502690188586712
0.03,0.9,3,1270562.0,0.5490650511346757
0.03,0.9,4,1030452.8125,0.5493459450080991
0.05,0.4,0,49884.41015625,0.5611088681034744
0.05,0.4,1,56778.765625,0.5614967769943178
0.05,0.4,2,57071.1796875,0.5604048729874194
0.05,0.4,3,52198.60546875,0.5616259733214974
0.05,0.4,4,52847.07421875,0.5608871509321034
0.05,0.5,0,49984.51953125,0.5587128247134387
0.05,0.5,1,57439.3671875,0.5621014982461929
0.05,0.5,2,56072.2578125,0.5566843547858298
0.05,0.5,3,53505.7421875,0.5603135279379785
