M,alg,n,W,p_value,mean_qipso,mean_baseline,improvement_pct
1,pso,30,270.0,0.7800166169181466,146597.62057291667,146345.93828125,-0.17197764052936668
1,ga,30,0.0,9.313225746154785e-10,146597.62057291667,195711.784375,25.09514895024232
1,de,30,374.0,0.9987199548631907,146597.62057291667,145628.20260416667,-0.6656801027648358
2,pso,30,37.0,5.304813385009766e-06,905145.5354166667,1141959.8520833333,20.73753435680201
2,ga,30,0.0,9.313225746154785e-10,905145.5354166667,2160631.158333333,58.10735525470819
2,de,30,0.0,9.313225746154785e-10,905145.5354166667,1252218.89375,27.716668392852494
3,pso,30,5.0,9.313225746154785e-09,5097240.066666666,6590146.625,22.653616729405222
3,ga,30,11.0,5.122274160385132e-08,5097240.066666666,6218622.333333333,18.03264785281756
3,de,30,450.0,0.9999998975545168,5097240.066666666,3856856.4833333334,-32.16048065810624
4,pso,30,0.0,9.313225746154785e-10,10886445.2,12549105.8,13.249235654702995
4,ga,30,59.0,7.643550634384155e-05,10886445.2,11412809.466666667,4.612048139452576
4,de,30,465.0,1.0,10886445.2,8089225.316666666,-34.57957683005899
